prompt,Data_address,Label,Related,Problem Type
"Xiao Wang runs a bakery with two workshops (W1 and W2) that can produce no more than p_1 and p_2 loaves of bread per day, respectively. He needs to distribute these loaves to three residential areas (A, B, and C) requiring d_1, d_2, and d_3 loaves, respectively. The transportation costs from the workshops to the residential areas are as follows: from W1 to A is t_11 dollars, to B is t_12 dollars, and to C is t_13 dollars; from W2 to A is t_21 dollars, to B is t_22 dollars, and to C is t_23 dollars. Xiao Wang wants to devise a transportation plan that meets the demands of each residential area, does not exceed the capacity of the workshops, and minimizes the total transportation cost. x_11 ,x_12,x_13 represent the number of breads transported from bakery W1 to residential areas A, B, and C, respectively. x_21, x_22, x_23 represent the number of breads transported from bakery W2 to residential areas A, B, and C, respectively. All decision variables are positive integer numbers.produce information: p_1 = 187, p_2 = 522; demand information = d_1 = 982, d_2 = 606, d_3 = 952; transportation costs: t_11 = 818, t_12 = 767, t_13 = 359; t_21 = 435, t_22 = 335, t_23 = 897",,"min 818x_11 + 767x_12 + 359x_13 + 435x_21 + 335x_22 + 897x_23
subject to
    x_11 + x_12 + x_13 <= 187
    x_21 + x_22 + x_23 <= 522
    x_11 + x_21 = 982
    x_12 + x_22 = 606
    x_13 + x_23 = 952
    x_11, x_12, x_13, x_21, x_22, x_23 ∈ Z+",,Others without CSV - Transportation Problem
"On an island, there are two fishing grounds (F1 and F2) that catch no more than p_1 and p_2 kilograms of seafood per day, respectively. These seafood items need to be transported to three restaurants (H1, H2, and H3) with daily demands of d_1, d_2, and d_3 kilograms, respectively. The transportation costs from the fishing grounds to the restaurants (per kilogram) are as follows: from F1 to H1 is t_11 dollars, to H2 is t_12 dollars, to H3 is t_13 dollars; from F2 to H1 is t_21 dollars, to H2 is t_22 dollars, to H3 is t_23 dollars. The fishing grounds need to devise a reasonable transportation plan to minimize the total cost of transporting seafood to the restaurants without exceeding the catch capacity of each fishing ground. x_11, x_12, x_13 represent the kilograms of seafood transported from fishing ground F1 to restaurants H1, H2, and H3, respectively. x_21, x_22, x_23 represent the kilograms of seafood transported from fishing ground F2 to restaurants H1, H2, and H3, respectively. All variables are positive real numbers.Catch capacity: p_1 = 298, p_2 = 878; Demand: d_1 = 204, d_2 = 143, d_3 = 9; Transportation costs: t_11 = 43, t_12 = 867, t_13 = 271; t_21 = 257, t_22 = 332, t_23 = 651",,"min 43x_11 + 867x_12 + 271x_13 + 257x_21 + 332x_22 + 651x_23
subject to
    x_11 + x_12 + x_13 <= 298
    x_21 + x_22 + x_23 <= 878
    x_11 + x_21 = 204
    x_12 + x_22 = 143
    x_13 + x_23 = 9
    x_11, x_12, x_13, x_21, x_22, x_23 ∈ R+",,Others without CSV - Transportation Problem
"There are two suppliers (S1, S2) and two demanders (D1, D2). Suppliers can transfer products to each other, as can the demanders. The objective is to determine the transport quantity for each route in order to minimize the total transport costs, while meeting the demands of each demander and not exceeding the supply capacity of each supplier. The supply capacities of suppliers S1 and S2 are p_1 and p_2 units, respectively. The demand quantities for demanders D1 and D2 are d_1 and d_2 units, respectively. The transport costs (in $/unit) are as follows: The transport cost from supplier S1 to S2 is t_11 dollars, to demander D1 is t_12 dollars, and to D2 is t_13 dollars. The transport cost from supplier S2 to S1 is t_21 dollars, to demander D1 is t_22 dollars, and to D2 is t_23 dollars. The transport cost from demander D1 to S1 is t_31 dollars, to S2 is t_32 dollars, and to D2 is t_33 dollars. The transport cost from demander D2 to S1 is t_41 dollars, to S2 is t_42 dollars, and to D1 is t_43 dollars. Let x_11, x_12, x_13 represent the units transported from supplier S1 to supplier S2, to demander D1, and to demander D2, respectively. Let x_21, x_22, x_23 represent the units transported from supplier S2 to supplier S1, to demander D1, and to demander D2, respectively. Let x_31, x_32, x_33 represent the units transported from demander D1 to supplier S1, to supplier S2, and to demander D2, respectively. Let x_41, x_42, x_43 represent the units transported from demander D2 to supplier S1, to supplier S2, and to demander D1, respectively. These variables are all positive real numbers.Supply capacity: p_1 = 495, p_2 = 415; Demand: d_1 = 419, d_2 = 465; Transportation costs: t_11 = 867, t_12 = 423, t_13 = 214; t_21 = 372, t_22 = 65, t_23 = 465; t_31 = 625, t_32 = 499, t_33 = 854; t_41 = 968, t_42 = 914, t_43 = 308.",,"min 867x_11 + 423x_12 + 214x_13 + 372x_21 + 65x_22 + 465x_23 + 625x_31 + 499x_32 + 854x_33 + 968x_41 + 914x_42 + 308x_43
subject to 
    x_11 + x_12 + x_13 - x_21 -  x_31 - x_41 <= 495
    -x_11 + x_21 + x_22 + x_23 - x_32 - x_42 <= 415
     x_12 + x_22 - x_31 - x_32 - x_33 + x_43 = 419
     x_13 + x_23 + x_33 - x_41 - x_42 - x_43 = 465
x_11, x_12, x_13, x_21, x_22, x_23, x_31, x_32, x_33, x_41, x_42, x_43 ∈ R+",,Others without CSV - transshipment problem with supply and demand in each node
"There are two manufacturers (M1, M2) and two distributors (D1, D2). Manufacturers can transfer parts to each other, as can the distributors. The goal is to determine the transport quantity for each route to minimize the total transport costs, while meeting the demands of each distributor and not exceeding the production capacity of each manufacturer. The production capacities of M1 and M2 are p_1 and p_2 units, respectively. The demand quantities for distributors D1 and D2 are d_1 and d_2 units, respectively. The transport costs (in $/unit) are as follows: The transport cost from M1 to M2 is t_11 dollars, to D1 is t_12 dollars, and to D2 is t_13 dollars. The transport cost from M2 to M1 is t_21 dollars, to D1 is t_22 dollars, and to D2 is t_23 dollars. The transport cost from D1 to M1 is t_31 dollars, to M2 is t_32 dollars, and to D2 is t_33 dollars. The transport cost from D2 to M1 is t_41 dollars, to M2 is t_42 dollars, and to D1 is t_43 dollars. Let x_11, x_12, x_13 represent the units transported from M1 to M2, to D1, and to D2, respectively. Let x_21, x_22, x_23 represent the units transported from M2 to M1, to D1, and to D2, respectively. Let x_31, x_32, x_33 represent the units transported from D1 to M1, to M2, and to D2, respectively. Let x_41, x_42, x_43 represent the units transported from D2 to M1, to M2, and to D1, respectively. Variables are positive integers.Production capacity: p_1 = 300, p_2 = 400; Demand: d_1 = 350, d_2 = 320; Transportation costs: t_11 = 100, t_12 = 150, t_13 = 200; t_21 = 110, t_22 = 160, t_23 = 210; t_31 = 120, t_32 = 170, t_33 = 220; t_41 = 130, t_42 = 180, t_43 = 230.",,"min 100x_11 + 150x_12 + 200x_13 + 110x_21 + 160x_22 + 210x_23 + 120x_31 + 170x_32 + 220x_33 + 130x_41 + 180x_42 + 230x_43

subject to

x_11 + x_12 + x_13 - x_21 - x_31 - x_41 <= 300

-x_11 + x_21 + x_22 + x_23 - x_32 - x_42 <= 400 

x_12 + x_22 - x_31 - x_32 - x_33 + x_43 = 350 

x_13 + x_23 + x_33 - x_41 - x_42 - x_43 = 320 

x_11, x_12, x_13, x_21, x_22, x_23, x_31, x_32, x_33, x_41, x_42, x_43 ∈ Z+",,Others without CSV - transshipment problem with supply and demand in each node
"There are two high-end fashion warehouses (W1, W2) and two exclusive retail boutiques (B1, B2). These warehouses can interchange their designer collections to optimize variety, just as the boutiques can exchange their inventory to better cater to the eclectic tastes of their clientele. The mission here is to strategically maneuver these luxury items to reduce delivery expenses, satisfy the refined demands of each boutique, and operate within the production constraints of each warehouse. Warehouse W1 has the capacity to distribute p_1 units, while W2 can dispatch p_2 units. Boutique B1 has requisitioned d_1 units, and B2 has requested d_2 units. The transportation cost per unit is as follows: The transport cost from W1 to W2 is t_11 dollars, to B1 is t_12 dollars, and to B2 is t_13 dollars. The transport cost from W2 to W1 is t_21 dollars, to B1 is t_22 dollars, and to B2 is t_23 dollars. The transport cost from B1 to W1 is t_31 dollars, to W2 is t_32 dollars, and to B2 is t_33 dollars. The transport cost from B2 to W1 is t_41 dollars, to W2 is t_42 dollars, and to B1 is t_43 dollars. Let x_11, x_12, x_13 represent the units transported from W1 to W2, to B1, and to B2, respectively. Let x_21, x_22, x_23 represent the units transported from W2 to W1, to B1, and to B2, respectively. Let x_31, x_32, x_33 represent the units transported from B1 to W1, to W2, and to B2, respectively. Let x_41, x_42, x_43 represent the units transported from B2 to W1, to W2, and to B1, respectively. Variables are positive real numbers.Supply capacity: p_1 = 600, p_2 = 700; Demand: d_1 = 650, d_2 = 690; Transportation costs: t_11 = 140, t_12 = 190, t_13 = 240; t_21 = 150, t_22 = 200, t_23 = 250; t_31 = 350, t_32 = 450, t_33 = 550; t_41 = 360, t_42 = 460, t_43 = 560.",,"min 140x_11 + 190x_12 + 240x_13 + 150x_21 + 200x_22 + 250x_23 + 350x_31 + 450x_32 + 550x_33 + 360x_41 + 460x_42 + 560x_43
subject to 
    x_11 + x_12 + x_13 - x_21 - x_31 - x_41 <= 600
    -x_11 + x_21 + x_22 + x_23 - x_32 - x_42 <= 700
    x_12 + x_22 - x_31 - x_32 - x_33 + x_43 = 650
    x_13 + x_23 + x_33 - x_41 - x_42 - x_43 = 690
    x_11, x_12, x_13, x_21, x_22, x_23, x_31, x_32, x_33, x_41, x_42, x_43 ∈ R+",,Others without CSV - transshipment problem with supply and demand in each node
"Two cutting-edge tech labs (L1, L2) and two technology incubators (I1, I2) collaborate in a network  labs can exchange state-of-the-art equipment and prototypes, while incubators share resources to enhance startup development. The goal is to optimize technology flow to minimize costs, meet the resource demands of the incubators, and maintain the output capacities of the labs. Lab L1 can supply up to p_1 units, and L2 can provide p_2 units. Incubator I1 requires d_1 units, and I2 needs d_2 units. Transportation costs per unit are strategically set as follows: The transport cost from L1 to L2 is t_11 dollars, to I1 is t_12 dollars, and to I2 is t_13 dollars. The transport cost from L2 to L1 is t_21 dollars, to I1 is t_22 dollars, and to I2 is t_23 dollars. The transport cost from I1 to L1 is t_31 dollars, to L2 is t_32 dollars, and to I2 is t_33 dollars. The transport cost from I2 to L1 is t_41 dollars, to L2 is t_42 dollars, and to I1 is t_43 dollars. Let x_11, x_12, x_13 represent the units transported from L1 to L2, to I1, and to I2, respectively. Let x_21, x_22, x_23 represent the units transported from L2 to L1, to I1, and to I2, respectively. Let x_31, x_32, x_33 represent the units transported from I1 to L1, to L2, and to I2, respectively. Let x_41, x_42, x_43 represent the units transported from I2 to L1, to L2, and to I1, respectively. Variables are all positive real numbers.Supply capacity: p_1 = 550, p_2 = 620; Demand: d_1 = 530, d_2 = 580; Transportation costs: t_11 = 180, t_12 = 280, t_13 = 330; t_21 = 190, t_22 = 290, t_23 = 340; t_31 = 400, t_32 = 500, t_33 = 600; t_41 = 410, t_42 = 510, t_43 = 610.",,"min 180x_11 + 280x_12 + 330x_13 + 190x_21 + 290x_22 + 340x_23 + 400x_31 + 500x_32 + 600x_33 + 410x_41 + 510x_42 + 610x_43
subject to 
    x_11 + x_12 + x_13 - x_21 - x_31 - x_41 <= 550
    -x_11 + x_21 + x_22 + x_23 - x_32 - x_42 <= 620
    x_12 + x_22 - x_31 - x_32 - x_33 + x_43 = 530
    x_13 + x_23 + x_33 - x_41 - x_42 - x_43 = 580
    x_11,x_12,x_13,x_21,x_22,x_23,x_31,x_32,x_33,x_41,x_42,x_43 ∈ R+",,Others without CSV - transshipment problem with supply and demand in each node
"Company XYZ has to get fresh groceries from two storage facilities (supply points: S1, S2) to grocery stores (demand points: G1, G2), and they__e using a couple of cool distribution hubs (transshipment points: H1, H2) to make it happen. S1 is all set to send out up to p_1 units of fresh goods every day. S2 can push out up to p_2 units daily. G1 is pretty hungry, needing at least d_1 units daily. G2 is a bit more chill, requiring just d_2 units. No worries on how much the hubs can handle; they__e got unlimited capacity. Now, about those costs: Getting goods from S1 to H1 costs t_11 dollars, and to H2 costs t_12 dollars. From S2 to H1 it__ t_21 dollars, and to H2 it__ t_22 dollars. And from the hubs to the stores: From H1 to G1 it__ gonna cost you t_31 dollars, to G2 it__ t_32 dollars. From H2 to G1 it__ a better deal at t_41 dollars, and to G2 it__ just t_42 dollars. Let x_11 and x_12 represent the units moved from S1 to H1 and H2, respectively. For S2, it__ x_21 and x_22 to H1 and H2. Then, we__l track y_11 and y_12 for the goods that make it from H1 to G1 and G2. Lastly, y_21 and y_22 will tell us about the flow from H2 to G1 and G2. Variables are all positive integers.Supply capacity: p_1 = 165, p_2 = 280; Demand: d_1 = 770, d_2 = 160; Transportation costs: t_11 = 180, t_12 = 75; t_21 = 170, t_22 = 455; t_31 = 920, t_32 = 680; t_41 = 485, t_42 = 65.",,"min 180x_11 + 75x_12 + 170x_21 + 455x_22 + 920y_11 + 680y_12 + 485y_21 + 65y_22
subject to: 
    x_11 + x_12 <= 300
    x_21 + x_22 <= 450
    y_11 + y_21 = 800
    y_12 + y_22 = 250
    x_11 + x_21 - y_11 - y_12 = 0
    x_12 + x_22 - y_21 - y_22 = 0
    x_11, x_12, x_21, x_22, y_11, y_12, y_21, y_22 ∈ Z+",,Others without CSV - transshipment problem with supply and demand in each node
"A book distributor needs to shuffle a bunch of books from two warehouses (supply points: W1, W2) to libraries (demand points: L1, L2), using a pair of sorting centers (transshipment points: C1, C2). W1 has a stash of up to p_1 books per day it can send out. W2 can send out up to p_2 books daily. Library L1 needs a solid d_1 books daily. L2 requires d_2 books daily. Storage at the sorting centers has no cap. Transportation costs: From W1 to C1 is t_11 dollars, to C2 is t_12 dollars. From W2 to C1 is t_21 dollars, and to C2 it__ t_22 dollars. From the centers to the libraries: From C1 to L1, it__l cost t_31 dollars, to L2 it__ t_32 dollars. From C2 to L1, it__ t_41 dollars, to L2 it__ t_42 dollars. The strategy here is all about minimizing transportation spend while making sure those libraries get their books on time. We__l use x_11 and x_12 to track shipments from W1 to C1 and C2, and x_21 and x_22 for shipments from W2. For the books going out to the libraries, y_11 and y_12 will handle the flow from C1 to L1 and L2, and y_21 and y_22 from C2. Variables are all positive integers.Supply capacity: p_1 = 190, p_2 = 320; Demand: d_1 = 690, d_2 = 130; Transportation costs: t_11 = 135, t_12 = 90; t_21 = 155, t_22 = 490; t_31 = 870, t_32 = 630; t_41 = 390, t_42 = 55.",,"min 135x_11 + 90x_12 + 155x_21 + 490x_22 + 870y_11 + 630y_12 + 390y_21 + 55y_22
subject to
    x_11 + x_12 <= 190
    x_21 + x_22 <= 320
    y_11 + y_21 = 690
    y_12 + y_22 = 130
    x_11 + x_21 - y_11 - y_12 = 0 
    x_12 + x_22 - y_21 - y_22 = 0
    x_11, x_12, x_21, x_22∈ Z+",,Others without CSV - transshipment problem with supply and demand in each node
"A logistics company is responsible for transporting a certain product from two factories (supply points: F1, F2) to two retailers (demand points: R1, R2). It can also utilize two warehouses (transshipment points: T1, T2) for transfer. F1 can supply up to p_1 units of the product per day, and F2 can supply up to p_2 units per day. R1 requires at least d_1 units per day, and R2 requires at least d_2 units per day. There are no storage capacity limitations at the transshipment points. The transportation costs are as follows: from factory F1 to transshipment point T1 is t_11 dollars, to T2 is t_12 dollars; from factory F2 to transshipment point T1 is t_21 dollars, to T2 is t_22 dollars. From transshipment point T1 to retailer R1, the transportation cost is t_31 dollars, to R2 is t_32 dollars. From transshipment point T2 to retailer R1, the cost is t_41 dollars, to R2 is t_42 dollars. The goal is to minimize the total transportation cost while meeting the demands of all retailers and not exceeding the supply capacity of the factories. Let x_11 and x_12 represent the units transported from factory F1 to transshipment points T1 and T2, respectively. Let x_21 and x_22 represent the units transported from factory F2 to transshipment points T1 and T2, respectively. Let y_11 and y_12 represent the units transported from transshipment point T1 to retailers R1 and R2, respectively. Let y_21 and y_22 represent the units transported from transshipment point T2 to retailers R1 and R2, respectively. All decision variables are positive real numbers.Supply capacity:p_1= 265,p_2= 359; Demand:d_1= 842,d_2= 116; Transportation costs:t_11= 160,t_12= 6;t_21= 118,t_22= 503;t_31= 987,t_32= 826;t_41= 555,t_42= 19.",,"min 160x_11 + 6x_12 + 118x_21 + 503x_22 + 987y_11 + 826y_12 + 555y_21 + 19y_22
subject to
    x_11 + x_12 <= 265
    x_21 + x_22 <= 359
    y_11 + y_21 = 842
    y_12 + y_22 = 116
    x_11 + x_21 - y_11 - y_12 = 0
    x_12 + x_22 - y_21 - y_22 = 0
    x_11, x_12, x_21, x_22, y_11, y_12, y_21, y_22 ∈ R+",,Others without CSV - transshipment problem with supply and demand in each node
"A food distribution company is responsible for delivering fresh vegetables and fruits from two farms (supply points: F1, F2) to two supermarkets (demand points: R1, R2), and it can use two distribution centers (transshipment points: T1, T2) for transfer. F1 can supply up to p_1 units of products per day. F2 can supply up to p_2 units per day. R1 requires at least d_1 units of products per day. R2 requires at least d_2 units per day. There are no capacity limitations at the transshipment points. Transportation cost information is as follows: The cost from F1 to T1 is t_11 dollars, and to T2 is t_12 dollars. The cost from F2 to T1 is t_21 dollars, and to T2 is t_22 dollars. Transportation costs from the transshipment points to the retailers: From T1 to R1, the cost is t_31 dollars, and to R2 is t_32 dollars. From T2 to R1, the cost is t_41 dollars, and to R2 is t_42 dollars. The goal is to minimize the total transportation cost while meeting the demands of all retailers and not exceeding the supply capacity of the farms. Let x_11 and x_12 represent the units transported from farm F1 to transshipment points T1 and T2, respectively, and x_21 and x_22 represent the units transported from farm F2 to transshipment points T1 and T2, respectively. Let y_11 and y_12 represent the units transported from transshipment point T1 to retailers R1 and R2, respectively, and y_21 and y_22 represent the units transported from transshipment point T2 to retailers R1 and R2, respectively. All variables must be positive integers.Supply capacity: p_1 = 180, p_2 = 270; Demand: d_1 = 420, d_2 = 230; Transportation costs: t_11 = 120, t_12 = 45; t_21 = 95, t_22 = 310; t_31 = 650, t_32 = 480; t_41 = 290, t_42 = 50.",,"min 120x_11 + 45x_12 + 95x_21 + 310x_22 + 650y_11 + 480y_12 + 290y_21 + 50y_22
subject to:
    x_11 + x_12 <= p_1
    x_21 + x_22 <= p_2
    y_11 + y_21 = d_1
    y_12 + y_22 = d_2
    x_11 + x_21 - y_11 - y_12 = 0
    x_12 + x_22 - y_21 - y_22 = 0
    x_11, x_12, x_21, x_22, y_11, y_12, y_21, y_22 ∈ Z+",,Others without CSV - transshipment problem with supply and demand in each node
"In a city, there are two factories, F1 and F2, capable of producing chocolate, and two supermarkets, S1 and S2, which require one unit of chocolate each. The factories incur a fixed cost, denoted by f_1 and f_2 , respectively, upon operation. Each supermarket needs to import one unit of chocolate. For supermarket S1, the transportation cost per unit of chocolate from factories F1 and F2 is c_11 and c_12, respectively. Similarly, for supermarket S2, the transportation cost per unit from factories F1 and F2 is c_21 and c_22, respectively. The objective is to determine which factories to open so that the demand of all customers is met while minimizing the total cost. The decision variables y_1 and y_2 are binary variables indicating whether factory F1 and F2 are operational (open). The decision variables x_11, x_12 represent the proportion of the total chocolate supply that supermarket S1 imports from factory F1 and F2. The decision variables x_21, x_22 represent the proportion of the total chocolate supply that supermarket S2 imports from factory F1 and F2. Fixed costs for the factories: f_1 = 10, f_2 = 12; Transportation costs per unit of chocolate: c_11 = 4, c_12 = 6; c_21 = 5, c_22 = 7",,"min 10y_1 + 12y_2 + 4x_11 + 6x_12 + 5x_21 + 7x_22
subject to
    x_11 + x_12 = 1
    x_21 + x_22 = 1
    -y_1 + x_11 <= 0
    -y_1 + x_21 <= 0
    -y_2 + x_12 <= 0
    -y_2 + x_22 <= 0
    y_1, y_2 ∈ {{0,1}} 
    x_11, x_12, x_21, x_22 ∈ R+",,Others without CSV - Uncapacitated Facility Location Problem
"In an orchard, there are two juice processing plants, Plant A and Plant B, capable of producing orange juice. Nearby, there are two juice stores, Store C and Store D, each requiring one unit of orange juice. Each processing plant incurs a fixed cost, denoted by a_1 and a_2, respectively, upon operation. Store C has transportation costs per unit of orange juice from Plant A and Plant B, denoted as t_11 and t_12, respectively. Similarly, Store D has transportation costs per unit from Plant A and Plant B, denoted as t_21 and t_22, respectively. The objective is to determine which processing plants to operate so that the demand of all stores is met while minimizing the total cost. The decision variables y_1 and y_2 are binary variables indicating whether Plant A and Plant B are operational (open). The decision variables x_11 and x_12 represent the proportion of the total orange juice supply that Store C imports from Plant A and Plant B. The decision variables x_21 and x_22 represent the proportion of the total orange juice supply that Store D imports from Plant A and Plant B.Fixed costs for the plants: f_1 = 15, f_2 = 20; Transportation costs per unit of orange juice: c_11 = 3, c_12 = 8; c_21 = 6, c_22 = 4",,"min 15y_1 + 20y_2 + 3x_11 + 8x_12 + 6x_21 + 4x_22
subject to
    x_11 + x_12 = 1
    x_21 + x_22 = 1
    -y_1 + x_11 <= 0
    -y_1 + x_21 <= 0
    -y_2 + x_12 <= 0
    -y_2 + x_22 <= 0
    y_1,y_2 ∈ {{0, 1}} 
    x_11, x_12, x_21, x_22 ∈ R+",,Others without CSV - Uncapacitated Facility Location Problem
"In an urban area, there are three power plants, Plant X, Plant Y, and Plant Z, that can generate electricity for the city. The city has three districts, District A, District B, and District C, each requiring one unit of electricity. Each power plant incurs a fixed operating cost, denoted by x_1, y_1, and z_1, respectively, when generating electricity. The cost of transmitting one unit of electricity from Plant X, Plant Y, and Plant Z to District A is t_11, t_12, and t_13, respectively. Similarly, the transmission costs for sending electricity from the three plants to District B are t_21, t_22, and t_23, and to District C are t_31, t_32, and t_33. The goal is to decide which power plants should be operational to supply electricity to all three districts while minimizing the total cost. The decision variables y_1, y_2, and y_3 are binary variables indicating whether Plant X, Plant Y, and Plant Z are operational (open). The decision variables x_11, x_12, and x_13 represent the proportion of electricity that District A receives from Plants X, Y, and Z, respectively. Similarly, x_21, x_22, and x_23 represent the electricity supply proportions for District B, and x_31, x_32, and x_33 for District C.Fixed costs for the power plants: x_1 = 62, y_1 = 79, z_1 = 63; Transportation costs per unit of electricity: t_11 = 61, t_12 = 26, t_13 = 12; t_21 = 72, t_22 = 97, t_23 =29; t_31 = 60, t_32 = 36, t_33 = 30",,"min 62y_1 + 79y_2 + 63y_3 + 61x_11 + 26x_12 + 12x_13 + 72x_21 + 97x_22 + 29x_23 + 60x_31 + 36x_32 + 30x_33
subject to
    x_11 + x_12 + x_13 = 1
    x_21 + x_22 + x_23 = 1
    x_31 + x_32 + x_33 = 1
    -y_1 + x_11 <= 0
    -y_1 + x_21 <= 0
    -y_1 + x_31 <= 0
    -y_2 + x_12 <= 0
    -y_2 + x_22 <= 0
    -y_2 + x_32 <= 0
    -y_3 + x_13 <= 0
    -y_3 + x_23 <= 0
    -y_3 + x_33 <= 0
     y_1, y_2, y_3 ∈ {{0,1}} 
     x_11, x_12, x_13, x_21, x_22, x_23, x_31, x_32, x_33 ∈ R+",,Others without CSV - Uncapacitated Facility Location Problem
"In a large logistics network, there are three warehouses: Warehouse A, Warehouse B, and Warehouse C. These warehouses need to supply goods to three distribution centers: Distribution Center 1, Distribution Center 2, and Distribution Center 3. Each distribution center requires exactly one unit of goods. Each warehouse has a fixed operating cost, denoted as x_1, y_1, and z_1 respectively. The cost to deliver one unit of goods from Warehouse A, Warehouse B, and Warehouse C to Distribution Center 1 is t_11, t_12, and t_13 respectively. Similarly, the delivery costs from the warehouses to Distribution Center 2 are t_21, t_22, and t_23, and to Distribution Center 3 are t_31, t_32, and t_33. The goal is to determine which warehouses should be operational to supply all three distribution centers while minimizing the total cost. The decision variables y_1, y_2, and y_3 are binary variables indicating whether Warehouse A, Warehouse B, and Warehouse C are operational (open). The decision variables x_11, x_12, and x_13 represent the proportion of goods that Distribution Center 1 receives from Warehouses A, B, and C respectively. Similarly, x_21, x_22, and x_23 represent the proportions for Distribution Center 2, and x_31, x_32, and x_33 represent the proportions for Distribution Center 3.Fixed costs for the warehouses: x_1 = 52, y_1 = 61, z_1 = 69; Transportation costs per unit of good: t_11 = 33, t_12 = 29, t_13 = 41; t_21 = 37, t_22 = 42, t_23 =46; t_31 = 44, t_32 = 38, t_33 = 52",,"min 52y_1 + 61y_2 + 69y_3 + 33x_11 + 29x_12 + 41x_13 + 37x_21 + 42x_22 + 46x_23 + 44x_31 + 38x_32 + 52x_33
subject to
    x_11 + x_12 + x_13 = 1
    x_21 + x_22 + x_23 = 1
    x_31 + x_32 + x_33 = 1
    -y_1 + x_11 <= 0
    -y_1 + x_21 <= 0
    -y_1 + x_31 <= 0
    -y_2 + x_12 <= 0
    -y_2 + x_22 <= 0
    -y_2 + x_32 <= 0
    -y_3 + x_13 <= 0
    -y_3 + x_23 <= 0
    -y_3 + x_33 <= 0
    y_1,y_2,y_3 ∈ {{0,1}} 
    x_11,x_12,x_13,x_21,x_22,x_23,x_31,x_32,x_33 ∈ R+",,Others without CSV - Uncapacitated Facility Location Problem
